user_id,tweet_id,tweet_class,tweet,prompt,response_only_tweet,response_only_tweet_certainty,response_with_network,response_with_network_certainty,response_few_shot_tweet,response_few_shot_tweet_certainty,response_few_shot_network,response_few_shot_network_certainty
18113993.0,1371801157597859849,0,"אבי רבינא: ברגע האחרון נתניהו ביטל את הגעתו לכנס בחירות הערב באשקלון. לשכת רה""מ: ""סיבות שאי אפשר לפרט"" .  נפרט בכל זאת: האולם היה ריק...",האם הציוץ הזה מפיץ תאוריית קונספירציה? הסבר את ההגיון שלך.,1,0.6765076518058777,0,0.7067408561706543,0,0.6929641366004944,1,0.9776324033737183
18113993.0,1378780177749184512,0,בהרבה מסעדות בתל אביב מבקשים את זה,האם הציוץ הזה מפיץ תאוריית קונספירציה? הסבר את ההגיון שלך.,0,0.6478105783462524,1,0.7509132623672485,0,0.658772349357605,1,0.9956951141357422
18113993.0,1373184409847930883,0,נכון. אצלנו יותר חשוב להסתיר לטייח ולמכור שקרים.,האם הציוץ הזה מפיץ תאוריית קונספירציה? הסבר את ההגיון שלך.,0,0.9486603736877441,0,0.5495687127113342,1,0.509078323841095,1,0.981437087059021
18113993.0,1354891772778999808,1,"עמוד ראשי באתר חדשות. ישראלי ממוצע גולל וקורא שמתכננים לקחת לו את פורים, הוא יידרש לעטות שתי (!) מסיכות, ושהחיסון שעד לפני שבוע נדחף בכח להריוניות, כעת מוגדר כמסוכן לחלקן. ומה עושה הישראלי המצוי נוכח בליץ החורבן הזה? מקשקש בזנבו, מלקק לעצמו את הביצים ויושב לצפות בנינג׳ה ישראל.",האם הציוץ הזה מפיץ תאוריית קונספירציה? הסבר את ההגיון שלך.,1,0.9133138656616211,1,0.6541856527328491,1,0.9875360131263733,1,0.9935925602912903
18113993.0,1405058011761102850,0,שמעתי שזה קורה גם בפרדס חנה כרכור. #זהממשנורא,האם הציוץ הזה מפיץ תאוריית קונספירציה? הסבר את ההגיון שלך.,1,0.8090753555297852,1,0.833554208278656,1,0.5048462152481079,1,0.9858338236808777
379366085.0,1385997739255746561,0,דיקטטור הקורונה,האם הציוץ הזה מפיץ תאוריית קונספירציה? הסבר את ההגיון שלך.,0,0.9203248023986816,0,0.5405974388122559,0,0.9300927519798279,1,0.9774441123008728
379366085.0,1359567818228924418,0,"הסנקציות על סרבני חיסון | במשרד הבריאות מגבשים ""תו ירוק"" למקומות הבילוי והפנאי, אליהם יוכלו להיכנס רק אנשים שהתחסנו או החלימו בלבד. גורמים משפטיים מעריכים: סביר להניח שניתן לאשר רשימה כזו. הדיווח של   #חדשותהערב ",האם הציוץ הזה מפיץ תאוריית קונספירציה? הסבר את ההגיון שלך.,1,0.9895610809326172,0,0.9936601519584656,0,0.6569321155548096,1,0.9789724349975586
379366085.0,1385858091644764167,0,זה הכי קל בארץ 1. ביבי חייב למנוע תמיכה של רעם במישהו אחר 2. מתסיס מהומות בירושלים 3. החמאס מתחיל לירות 4. הצהרה מיוחדת - בנט מכשיר ממשלה עם תומכי חמאס בכנסת 5. בנט מתקפל. 6. הצביעות של הימין שוב מנצחת 7. בחירות 5,האם הציוץ הזה מפיץ תאוריית קונספירציה? הסבר את ההגיון שלך.,1,0.7232356667518616,0,0.6468931436538696,1,0.8243321776390076,1,0.9793846607208252
379366085.0,1346058864848941056,0,"כמה עשרות בני אדם מפגינים מול הכנסת, שם מתקיים דיון על הדרכון הירוק שיוענק למתחסנים נגד קורונה: ""נגד כל כפייה, די לפגיעה בחירות האדם""  ",האם הציוץ הזה מפיץ תאוריית קונספירציה? הסבר את ההגיון שלך.,1,0.9093726277351379,0,0.9395819902420044,1,0.8887939453125,1,0.9990813732147217
379366085.0,1385991453747388417,0,"לנתניהו אין סמכות להבעיר מיכליות אירניות בכדי להקים ""ממשלת חירום אירן"" במתכונת של ""ממשלת חירום קורונה"" שהקים בשנה שעברה.",האם הציוץ הזה מפיץ תאוריית קונספירציה? הסבר את ההגיון שלך.,1,0.6249865889549255,0,0.8461679816246033,0,0.9125688076019287,1,0.8921797871589661
